"parent","level","name","lng","lat","people_count_2010","adcode"
"中华人民共和国","province","江西省","115.892151","28.676493","43976312","360000"
"中华人民共和国","province","河南省","113.665412","34.757975","96486884","410000"
"中华人民共和国","province","四川省","104.065735","30.659462","85974759","510000"
"中华人民共和国","province","重庆市","106.504962","29.533155","28458101","500000"
"中华人民共和国","province","西藏自治区","91.132212","29.660361","2554907","540000"
"中华人民共和国","province","贵州省","106.713478","26.578343","25119376","520000"
"中华人民共和国","province","辽宁省","123.429096","41.796767","43149614","210000"
"中华人民共和国","province","新疆维吾尔自治区","87.617733","43.792818","29070614","650000"
"中华人民共和国","province","山东省","117.000923","36.675807","94646230","370000"
"中华人民共和国","province","上海市","121.472644","31.231706","21135161","310000"
"中华人民共和国","province","澳門特別行政區","113.54909","22.198951","null","820000"
"中华人民共和国","province","山西省","112.549248","37.857014","34364492","140000"
"中华人民共和国","province","浙江省","120.153576","30.287459","53807755","330000"
"中华人民共和国","province","海南省","110.33119","20.031971","42028870","460000"
"中华人民共和国","province","福建省","119.306239","26.075302","39026582","350000"
"中华人民共和国","province","青海省","101.778916","36.623178","5619543","630000"
"中华人民共和国","province","宁夏回族自治区","106.278179","38.46637","6466366","640000"
"中华人民共和国","province","湖北省","114.298572","30.584355","62160766","420000"
"中华人民共和国","province","甘肃省","103.823557","36.058039","27957557","620000"
"中华人民共和国","province","安徽省","117.283042","31.86119","57217014","340000"
"中华人民共和国","province","台湾省","121.509062","25.044332","null","710000"
"中华人民共和国","province","陕西省","108.948024","34.263161","35876998","610000"
"中华人民共和国","province","广西壮族自治区","108.320004","22.82402","47082115","450000"
"中华人民共和国","province","天津市","117.190182","39.125596","15298136","120000"
"中华人民共和国","province","云南省","102.712251","25.040609","72840959","530000"
"中华人民共和国","province","黑龙江省","126.642464","45.756967","40734477","230000"
"中华人民共和国","province","广东省","113.280637","23.125178","107131199","440000"
"中华人民共和国","province","湖南省","112.982279","28.19409","67158313","430000"
"中华人民共和国","province","河北省","114.502461","38.045474","106816280","130000"
"中华人民共和国","province","内蒙古自治区","111.670801","40.818311","26353789","150000"
"中华人民共和国","province","吉林省","125.3245","43.886841","26423220","220000"
"中华人民共和国","province","江苏省","118.767413","32.041544","79104628","320000"
"中华人民共和国","province","北京市","116.405285","39.904989","18934592","110000"
"中华人民共和国","province","香港特別行政區","114.173355","22.320048","null","810000"
"山东省","city","枣庄市","117.557964","34.856424","3189966","370400"
"河南省","city","信阳市","114.075031","32.123274","6085177","411500"
"河南省","city","三门峡市","111.194099","34.777338","2181802","411200"
"上海市","city","上海市市辖区","121.472644","31.231706","20431439","310100"
"山西省","city","吕梁市","111.134335","37.524366","3727068","141100"
"河南省","city","洛阳市","112.434468","34.663041","6727880","410300"
"贵州省","city","遵义市","106.937265","27.706626","6127082","520300"
"宁夏回族自治区","city","中卫市","105.189568","37.514951","1080832","640500"
"河南省","city","焦作市","113.238266","35.23904","4215858","410800"
"河南省","city","新乡市","113.883991","35.302616","5699625","410700"
"新疆维吾尔自治区","city","克拉玛依市","84.873946","45.595886","391008","650200"
