Name,Age,Year,Cmp,Att,Yds,TD
Peyton Manning,38,1998,326,575,3739,26
Peyton Manning,38,1999,331,533,4135,26
Peyton Manning,38,2000,357,571,4413,33
Peyton Manning,38,2001,343,547,4131,26
Peyton Manning,38,2002,392,591,4200,27
Peyton Manning,38,2003,379,566,4267,29
Peyton Manning,38,2004,336,497,4557,49
Peyton Manning,38,2005,305,453,3747,28
Peyton Manning,38,2006,362,557,4397,31
Peyton Manning,38,2007,337,515,4040,31
Peyton Manning,38,2008,371,555,4002,27
Peyton Manning,38,2009,393,571,4500,33
Peyton Manning,38,2010,450,679,4700,33
Peyton Manning,38,2011,0,0,0,0
Peyton Manning,38,2012,400,583,4659,37
Peyton Manning,38,2013,450,659,5477,55
Peyton Manning,38,2014,395,597,4727,39
Peyton Manning,38,Career,5927,9049,69691,530
Brett Favre,41,1991,0,4,0,0
Brett Favre,41,1992,302,471,3227,18
Brett Favre,41,1993,318,522,3303,19
Brett Favre,41,1994,363,582,3882,33
Brett Favre,41,1995,359,570,4413,38
Brett Favre,41,1996,325,543,3899,39
Brett Favre,41,1997,304,513,3867,35
Brett Favre,41,1998,347,551,4212,31
Brett Favre,41,1999,341,595,4091,22
Brett Favre,41,2000,338,580,3812,20
Brett Favre,41,2001,314,510,3921,32
Brett Favre,41,2002,341,551,3658,27
Brett Favre,41,2003,308,471,3361,32
Brett Favre,41,2004,346,540,4088,30
Brett Favre,41,2005,372,607,3881,20
Brett Favre,41,2006,343,613,3885,18
Brett Favre,41,2007,356,535,4155,28
Brett Favre,41,2008,343,522,3472,22
Brett Favre,41,2009,363,531,4202,33
Brett Favre,41,2010,217,358,2509,11
Brett Favre,41,Career,6300,10169,71838,508
Dan Marino,38,1983,173,296,2210,20
Dan Marino,38,1984,362,564,5084,48
Dan Marino,38,1985,336,567,4137,30
Dan Marino,38,1986,378,623,4746,44
Dan Marino,38,1987,263,444,3245,26
Dan Marino,38,1988,354,606,4434,28
Dan Marino,38,1989,308,550,3997,24
Dan Marino,38,1990,306,531,3563,21
Dan Marino,38,1991,318,549,3970,25
Dan Marino,38,1992,330,554,4116,24
Dan Marino,38,1993,91,150,1218,8
Dan Marino,38,1994,385,615,4453,30
Dan Marino,38,1995,309,482,3668,24
Dan Marino,38,1996,221,373,2795,17
Dan Marino,38,1997,319,548,3780,16
Dan Marino,38,1998,310,537,3497,23
Dan Marino,38,1999,204,369,2448,12
Dan Marino,38,Career,4967,8358,61361,420
Drew Brees,35,2001,15,27,221,1
Drew Brees,35,2002,320,526,3284,17
Drew Brees,35,2003,205,356,2108,11
Drew Brees,35,2004,262,400,3159,27
Drew Brees,35,2005,323,500,3576,24
Drew Brees,35,2006,356,554,4418,26
Drew Brees,35,2007,440,652,4423,28
Drew Brees,35,2008,413,635,5069,34
Drew Brees,35,2009,363,514,4388,34
Drew Brees,35,2010,448,658,4620,33
Drew Brees,35,2011,468,657,5476,46
Drew Brees,35,2012,422,670,5177,43
Drew Brees,35,2013,446,650,5162,39
Drew Brees,35,2014,456,659,4952,33
Drew Brees,35,Career,4937,7458,56033,396
Tom Brady,37,2000,1,3,6,0
Tom Brady,37,2001,264,413,2843,18
Tom Brady,37,2002,373,601,3764,28
Tom Brady,37,2003,317,527,3620,23
Tom Brady,37,2004,288,474,3692,28
Tom Brady,37,2005,334,530,4110,26
Tom Brady,37,2006,319,516,3529,24
Tom Brady,37,2007,398,578,4806,50
Tom Brady,37,2008,7,11,76,0
Tom Brady,37,2009,371,565,4398,28
Tom Brady,37,2010,324,492,3900,36
Tom Brady,37,2011,401,611,5235,39
Tom Brady,37,2012,401,637,4827,34
Tom Brady,37,2013,380,628,4343,25
Tom Brady,37,2014,373,582,4109,33
Tom Brady,37,Career,4551,7168,53258,392
Fran Tarkenton,38,1961,157,280,1997,18
Fran Tarkenton,38,1962,163,329,2595,22
Fran Tarkenton,38,1963,170,297,2311,15
Fran Tarkenton,38,1964,171,306,2506,22
Fran Tarkenton,38,1965,171,329,2609,19
Fran Tarkenton,38,1966,192,358,2561,17
Fran Tarkenton,38,1967,204,377,3088,29
Fran Tarkenton,38,1968,182,337,2555,21
Fran Tarkenton,38,1969,220,409,2918,23
Fran Tarkenton,38,1970,219,389,2777,19
Fran Tarkenton,38,1971,226,386,2567,11
Fran Tarkenton,38,1972,215,378,2651,18
Fran Tarkenton,38,1973,169,274,2113,15
Fran Tarkenton,38,1974,199,351,2598,17
Fran Tarkenton,38,1975,273,425,2994,25
Fran Tarkenton,38,1976,255,412,2961,17
Fran Tarkenton,38,1977,155,258,1734,9
Fran Tarkenton,38,1978,345,572,3468,25
Fran Tarkenton,38,Career,3686,6467,47003,342
John Elway,38,1983,123,259,1663,7
John Elway,38,1984,214,380,2598,18
John Elway,38,1985,327,605,3891,22
John Elway,38,1986,280,504,3485,19
John Elway,38,1987,224,410,3198,19
John Elway,38,1988,274,496,3309,17
John Elway,38,1989,223,416,3051,18
John Elway,38,1990,294,502,3526,15
John Elway,38,1991,242,451,3253,13
John Elway,38,1992,174,316,2242,10
John Elway,38,1993,348,551,4030,25
John Elway,38,1994,307,494,3490,16
John Elway,38,1995,316,542,3970,26
John Elway,38,1996,287,466,3328,26
John Elway,38,1997,280,502,3635,27
John Elway,38,1998,210,356,2806,22
John Elway,38,Career,4123,7250,51475,300
Warren Moon,44,1984,259,450,3338,12
Warren Moon,44,1985,200,377,2709,15
Warren Moon,44,1986,256,488,3489,13
Warren Moon,44,1987,184,368,2806,21
Warren Moon,44,1988,160,294,2327,17
Warren Moon,44,1989,280,464,3631,23
Warren Moon,44,1990,362,584,4689,33
Warren Moon,44,1991,404,655,4690,23
Warren Moon,44,1992,224,346,2521,18
Warren Moon,44,1993,303,520,3485,21
Warren Moon,44,1994,371,601,4264,18
Warren Moon,44,1995,377,606,4228,33
Warren Moon,44,1996,134,247,1610,7
Warren Moon,44,1997,313,528,3678,25
Warren Moon,44,1998,145,258,1632,11
Warren Moon,44,1999,1,3,20,0
Warren Moon,44,2000,15,34,208,1
Warren Moon,44,Career,3988,6823,49325,291
Johny Unitas,40,1956,110,198,1498,9
Johny Unitas,40,1957,172,301,2550,24
Johny Unitas,40,1958,136,263,2007,19
Johny Unitas,40,1959,193,367,2899,32
Johny Unitas,40,1960,190,378,3099,25
Johny Unitas,40,1961,229,420,2990,16
Johny Unitas,40,1962,222,389,2967,23
Johny Unitas,40,1963,237,410,3481,20
Johny Unitas,40,1964,158,305,2824,19
Johny Unitas,40,1965,164,282,2530,23
Johny Unitas,40,1966,195,348,2748,22
Johny Unitas,40,1967,255,436,3428,20
Johny Unitas,40,1968,11,32,139,2
Johny Unitas,40,1969,178,327,2342,12
Johny Unitas,40,1970,166,321,2213,14
Johny Unitas,40,1971,92,176,942,3
Johny Unitas,40,1972,88,157,1111,4
Johny Unitas,40,1973,34,76,471,3
Johny Unitas,40,Career,2830,5186,40239,290
Vinny Testaverde,44,1987,71,165,1081,5
Vinny Testaverde,44,1988,222,466,3240,13
Vinny Testaverde,44,1989,258,480,3133,20
Vinny Testaverde,44,1990,203,365,2818,17
Vinny Testaverde,44,1991,166,326,1994,8
Vinny Testaverde,44,1992,206,358,2554,14
Vinny Testaverde,44,1993,130,230,1797,14
Vinny Testaverde,44,1994,207,376,2575,16
Vinny Testaverde,44,1995,241,392,2883,17
Vinny Testaverde,44,1996,325,549,4177,33
Vinny Testaverde,44,1997,271,470,2971,18
Vinny Testaverde,44,1998,259,421,3256,29
Vinny Testaverde,44,1999,10,15,96,1
Vinny Testaverde,44,2000,328,590,3732,21
Vinny Testaverde,44,2001,260,441,2752,15
Vinny Testaverde,44,2002,54,83,499,3
Vinny Testaverde,44,2003,123,198,1385,7
Vinny Testaverde,44,2004,297,495,3532,17
Vinny Testaverde,44,2005,60,106,777,1
Vinny Testaverde,44,2006,2,3,29,1
Vinny Testaverde,44,2007,94,172,952,5
Vinny Testaverde,44,Career,3787,6701,46233,275
Joe Montana,38,1979,13,23,96,1
Joe Montana,38,1980,176,273,1795,15
Joe Montana,38,1981,311,488,3565,19
Joe Montana,38,1982,213,346,2613,17
Joe Montana,38,1983,332,515,3910,26
Joe Montana,38,1984,279,432,3630,28
Joe Montana,38,1985,303,494,3653,27
Joe Montana,38,1986,191,307,2236,8
Joe Montana,38,1987,266,398,3054,31
Joe Montana,38,1988,238,397,2981,18
Joe Montana,38,1989,271,386,3521,26
Joe Montana,38,1990,321,520,3944,26
Joe Montana,38,1992,15,21,126,2
Joe Montana,38,1993,181,298,2144,13
Joe Montana,38,1994,299,493,3283,16
