Year,Biology,Communications and Journalism,Computer Science,Education,Engineering,Foreign Languages,Health Professions,Math and Statistics,Physical Sciences,Social Sciences and History
1970,29.09,35.30,13.60,74.54,0.80,73.80,77.10,38.00,13.80,36.80
1971,29.39,35.50,13.60,74.15,1.00,73.90,75.50,39.00,14.90,36.20
1972,29.81,36.60,14.90,73.55,1.20,74.60,76.90,40.20,14.80,36.10
1973,31.15,38.40,16.40,73.50,1.60,74.90,77.40,40.90,16.50,36.40
1974,33.00,40.50,18.90,73.34,2.20,75.30,77.90,41.80,18.20,37.30
1975,34.45,41.50,19.80,72.80,3.20,75.00,78.90,40.70,19.10,37.70
1976,36.07,44.30,23.90,72.17,4.50,74.40,79.20,41.50,20.00,39.20
1977,38.33,46.90,25.70,72.46,6.80,74.30,80.50,41.10,21.30,40.50
1978,40.11,49.90,28.10,73.19,8.40,74.30,81.90,41.60,22.50,41.80
1979,42.07,52.30,30.20,73.82,9.40,74.20,82.30,42.30,23.70,43.60
1980,44.00,54.70,32.50,74.98,10.30,74.10,83.50,42.80,24.60,44.20
1981,45.25,56.40,34.80,75.85,11.60,73.90,84.10,43.20,25.70,44.60
1982,45.97,58.00,36.30,75.84,12.40,72.70,84.40,44.00,27.30,44.60
1983,46.71,58.60,37.10,75.95,13.10,71.80,84.60,44.30,27.60,44.10
1984,47.67,59.10,36.80,75.87,13.50,72.10,85.10,46.20,28.00,44.10
1985,47.91,59.00,35.70,75.92,13.50,70.80,85.30,46.50,27.50,43.80
1986,48.30,60.00,34.70,76.14,13.90,71.20,85.70,46.70,28.40,44.00
1987,50.21,60.20,32.40,76.96,14.00,72.00,85.50,46.50,30.40,43.90
1988,50.10,60.40,30.80,77.63,13.90,72.30,85.20,46.20,29.70,44.40
1989,50.77,60.50,29.90,78.11,14.10,72.40,84.60,46.20,31.30,44.20
1990,50.82,60.80,29.40,78.87,14.10,71.20,83.90,47.30,31.60,45.10
1991,51.47,60.80,28.70,78.99,14.00,71.10,83.50,47.00,32.60,45.50
1992,51.35,59.70,28.20,78.44,14.50,71.00,83.00,47.40,32.60,45.80
1993,51.12,58.70,28.50,77.27,14.90,70.00,82.40,46.40,33.60,46.10
1994,52.25,58.10,28.50,75.81,15.70,69.10,81.80,47.00,34.80,46.80
1995,52.60,58.80,27.50,75.13,16.20,69.60,81.50,46.10,35.90,47.90
1996,53.79,58.70,27.10,75.04,16.70,69.70,81.30,46.40,37.30,48.70
1997,55.00,60.00,26.80,75.16,17.00,70.00,81.90,47.00,38.30,49.20
1998,56.35,60.00,27.00,75.49,17.80,70.10,82.10,48.30,39.70,50.50
1999,58.23,61.20,28.10,75.84,18.60,70.90,83.50,47.80,40.20,51.20
2000,59.39,61.90,27.70,76.69,18.40,70.90,83.50,48.20,41.00,51.80
2001,60.71,63.00,27.60,77.38,19.00,71.20,85.10,47.00,42.20,51.70
2002,61.90,63.70,27.00,78.64,18.70,70.50,85.80,45.70,41.10,51.50
2003,62.17,64.60,25.10,78.54,18.80,70.60,86.50,46.00,41.70,50.90
2004,61.91,64.20,22.20,78.65,18.20,70.80,86.50,44.70,42.10,50.50
2005,61.50,63.40,20.60,79.07,17.90,69.90,86.00,45.10,41.60,50.00
2006,60.17,63.00,18.60,78.69,16.80,69.60,85.90,44.10,40.80,49.80
2007,59.41,62.50,17.60,78.72,16.80,70.20,85.40,44.10,40.70,49.30
2008,59.31,62.40,17.80,79.20,16.50,70.20,85.20,43.30,40.70,49.40
2009,58.49,62.80,18.10,79.53,16.80,69.30,85.10,43.30,40.70,49.40
2010,59.01,62.50,17.60,79.62,17.20,69.00,85.00,43.10,40.20,49.30
2011,58.74,62.20,18.20,79.43,17.50,69.50,84.80,43.10,40.10,49.20
