score_num,score,movie_name,ranking
9.6,9.6,肖申克的救赎,1
9.5,9.5,霸王别姬,2
9.4,9.4,这个杀手不太冷,3
9.4,9.4,阿甘正传,4
9.5,9.5,美丽人生,5
9.2,9.2,千与千寻,6
9.2,9.2,泰坦尼克号,7
9.4,9.4,辛德勒的名单,8
9.3,9.3,盗梦空间,9
9.3,9.3,机器人总动员,10
9.2,9.2,海上钢琴师,11
9.1,9.1,三傻大闹宝莱坞,12
9.2,9.2,忠犬八公的故事,13
9.2,9.2,放牛班的春天,14
9.2,9.2,大话西游之大圣娶亲,15
9.2,9.2,教父,16
9.1,9.1,龙猫,17
9.1,9.1,楚门的世界,18
9.2,9.2,乱世佳人,19
9.2,9.2,熔炉,20
9.1,9.1,触不可及,21
9.1,9.1,天堂电影院,22
8.9,8.9,当幸福来敲门,23
9.0,9.0,无间道,24
9.1,9.1,星际穿越,25
ranking,score_num,movie_name,score
1,9.6,肖申克的救赎,9.6
2,9.5,霸王别姬,9.5
3,9.4,这个杀手不太冷,9.4
4,9.4,阿甘正传,9.4
5,9.5,美丽人生,9.5
6,9.2,千与千寻,9.2
7,9.2,泰坦尼克号,9.2
8,9.4,辛德勒的名单,9.4
9,9.3,盗梦空间,9.3
10,9.3,机器人总动员,9.3
11,9.2,海上钢琴师,9.2
12,9.1,三傻大闹宝莱坞,9.1
13,9.2,忠犬八公的故事,9.2
14,9.2,放牛班的春天,9.2
15,9.2,大话西游之大圣娶亲,9.2
16,9.2,教父,9.2
17,9.1,龙猫,9.1
18,9.1,楚门的世界,9.1
19,9.2,乱世佳人,9.2
20,9.2,熔炉,9.2
21,9.1,触不可及,9.1
22,9.1,天堂电影院,9.1
23,8.9,当幸福来敲门,8.9
24,9.0,无间道,9.0
25,9.1,星际穿越,9.1
26,8.9,怦然心动,8.9
27,9.4,十二怒汉,9.4
28,9.0,搏击俱乐部,9.0
29,9.0,少年派的奇幻漂流,9.0
30,9.1,指环王3：王者无敌,9.1
31,9.2,鬼子来了,9.2
32,9.0,蝙蝠侠：黑暗骑士,9.0
33,9.0,天空之城,9.0
34,9.1,活着,9.1
35,8.9,罗马假日,8.9
36,8.9,大话西游之月光宝盒,8.9
37,8.9,飞屋环游记,8.9
38,9.1,两杆大烟枪,9.1
39,9.1,窃听风暴,9.1
40,9.0,飞越疯人院,9.0
41,9.2,疯狂动物城,9.2
42,9.6,控方证人,9.6
43,8.9,闻香识女人,8.9
44,9.3,海豚湾,9.3
45,8.9,哈尔的移动城堡,8.9
46,8.8,V字仇杀队,8.8
47,9.1,教父2,9.1
48,8.9,死亡诗社,8.9
49,8.9,美丽心灵,8.9
50,9.1,辩护人,9.1
51,9.0,指环王2：双塔奇兵,9.0
52,8.9,指环王1：魔戒再现,8.9
53,8.8,情书,8.8
54,9.1,饮食男女,9.1
55,9.1,美国往事,9.1
56,8.7,天使爱美丽,8.7
57,8.9,狮子王,8.9
58,9.0,钢琴家,9.0
59,8.7,七宗罪,8.7
60,8.9,被嫌弃的松子的一生,8.9
61,8.8,致命魔术,8.8
62,9.2,小鞋子,9.2
63,9.1,素媛,9.1
64,8.8,勇敢的心,8.8
65,8.9,音乐之声,8.9
66,8.7,剪刀手爱德华,8.7
