发帖用户id	科室	所属栏目	相关疾病
小僧悟道	神经科		
寄生虫007	呼吸科		眩晕
小僧悟道	神经科		癫痫
wyjsjmm	神经科	病例讨论	肿瘤
神经病啊YRKS			脑出血
柳柳刀		病例讨论	
小僧悟道	神经科		足部皮肤角化过度
dxy_uvie4td3			失眠
dxy_6to084g8			
lm_2460260		学习交流	谵妄
柳柳刀		病例讨论	卒中
努力的猫大夫			
柳柳刀		病例讨论	脑-面血管瘤病
心之所向11			
补钙是大事儿	肾脏内科	学习交流	
柳柳刀		病例讨论	中毒
wh535312	耳鼻咽喉科		脑梗死
ly879752577	神经科	学习交流	言语障碍
ly879752577	神经科	神经影像	帕金森病
尘笑长			
不爱学医			
小僧悟道	神经科		
一生无题	神经科	学习交流	
Syg640417	心血管内科		头痛
ly879752577	神经科	学习交流	卒中
ly879752577	神经科	神经影像	脑炎
王柏懿	神经科	病例讨论	肿瘤
duanyan123456			共济失调
hyq7717	神经外科	病例讨论	脑膜瘤
dxy_15n1bqzr		学习交流	癫痫
zhuqueleee		学习交流	中毒
Bridge1996			瘫痪
努力的猫大夫		学习交流	脑梗死
ly879752577	神经科	学习交流	原发性高血压
reflexhammer	神经科	学习交流	卒中
蒙特多	神经外科		昏迷
贺银苏	消化内科		脑震荡
Hjyhj350	神经科	学习交流	
hisen668			头痛
月夜思笙	神经科	学习交流	偏头痛
dxy_wtde4w06			瘫痪
ykqiu1234			
dxy_4xgz9kbw	内分泌科		胸腔积液
丁香公开课			
lilyrcc	普通内科		
Xklby56	神经科	学习交流	
人面小兽医9527			
Dycsr78899	神经科	病例讨论	肌肉萎缩
liugang_sz	麻醉科	学习交流	妊娠期肝内胆汁淤积症
Giraffe1002		学习交流	
Hjyhj350	神经科	病例讨论	肌张力异常
小僧悟道	神经科		
deping2008	神经科	病例讨论	脑出血
杨蕃蕃hh	康复科		
Wyjts880	神经科	学习交流	卒中
柳柳刀		病例讨论	中枢神经系统白血病
一个顶俩			
yaohui225		病例讨论	脑梗死
小僧悟道	神经科		
入狱小农			脑疝
张晓晓_1		学习交流	
745429870赵		影像读片	肺气肿
Xklby56	神经科	学习交流	头痛
bluesky3	神经科		特发性面瘫
1小平			足部皮肤角化过度
dxy_junjun		学习交流	肠炎
Hjyhj350	神经科	学习交流	阿尔茨海默病
LD_273K		学习交流	
Harmony001			头痛
小僧悟道	神经科		头痛
xhb1981	神经科	学习交流	
wmg124			
Zero526	普通内科		继发性高血压
abin彬子			普通感冒
Dzwxq790	神经科	学习交流	卒中
小泡泡和小沫沫		神经影像	遗传代谢病
SPRITE123ABC		学习交流	
仙女刘			
jiayang999			瘫痪
小僧悟道	神经科	论坛公告	
eventome	神经科		帕金森病
小僧悟道	神经科		脑炎
dxy_tt4yta59			支气管炎
dxy_r1dnqlf7			肺炎
alex1234		影像读片	
德利医生			结核病
belb	呼吸科	其它	谵妄
A13150316965			
给你阳光你就灿烂T77C			
王文璋医生	心胸外科	普胸外科	
王文璋医生	心胸外科	普胸外科	肿瘤
王文璋医生	心胸外科	其它	肺癌
庞绍辉	内科		结核病
王文璋医生	心胸外科	普胸外科	胸腔积液
wangyy1990		其它	流行性感冒
belb	呼吸科	病例讨论	肺栓塞
王文璋医生	心胸外科	进展|翻译|热点|科研	胸骨骨髓炎
低位脑干		其它	
hjh007	呼吸科	影像读片	肿瘤
hjh007	呼吸科	影像读片	结核病
王朝超11	心血管内科	其它	阻塞性睡眠呼吸暂停低通气综合征
zxcvbnm2567		呼吸治疗	普通感冒
爱瓶子医生	病理科	肺癌	
sosmeng	呼吸科	其它	
青青青子衿	呼吸科	其它	肿瘤
jingjing266	针灸科		
ct8376	中医内科		
漩涡一拳	呼吸科	影像读片	肺栓塞
哎呀好难	重症医学科	呼吸治疗	气胸
baozuxiao		资源	失眠
f20317		精神病理学	
丁香园呼吸频道		其它	
查房必备	普外科		
Psy_Sun			
dxy_oxaorfv8			
chengzhonglong			呃逆
eaglet33	心血管内科		结核病
wyg0335	胸外科	呼吸治疗	气胸
dxy_noba9k72		其它	
猪八戒的七彩祥云			昏迷
随遇而安0JMI			
cychina1010	普通内科	咨询与治疗	
newset	呼吸科	肺癌	
随遇而安0JMI			心境障碍
cuihongwei1	重症医学科	呼吸治疗	
666buhuifu		资源	肥胖症
soulren	精神科	版务	
wangyy1990		资源	阿尔茨海默病
莲花下的蟾			贫血
qxl8402	重症医学科		低血压
飛飛飛儿			
siki6	精神科		躁狂症
f20317		精神药理学	脱发
落地生花花开花落			
安然811			
f20317		精神病理学	
visa8752	精神科	精神药理学	
monkey222		病例研究	冠心病
笋笋			预激综合征
f20317		咨询与治疗	
f20317		精神病理学	血液病
f20317		精神病理学	双相障碍
siki6	精神科		人格障碍
根正苗红不怕黑	急诊科		梦游
f20317		咨询与治疗	
冲破阻碍	精神科		意识障碍
下夜班6002	急诊科		房性心动过速
静默如海			
董卿本佳人	重症医学科		室性期前收缩
逍遥仙子			抑郁症
沐子兮	心血管内科		风湿性心脏病
woaimanxiuhuan			心肌梗死
芒果会不会忙			肺动脉高压
lgt2009	外科		心绞痛
xf010226	全科	心电	窦性心动过速
洋柿子枣儿	心血管内科		心房颤动
倚帆50	消化内科		窦性心动过速
dxy_jbf9ex85		心电	右束支传导阻滞
dxy_if4vweg7			
